CATEGORY,PERS_STAR_NO,PERS_LAST_NME,PERS_FIRST_NME,DESCR
20A,9477,PROANO,MARCO,POLICE OFFICER
20A,3424,RAZO,VICTOR,POLICE OFFICER
20A,13089,CIFUENTES,JUAN,POLICE OFFICER
20A,5338,FRIEDLIEB,JEFFREY,POLICE OFFICER
20A,14518,JOHNSON,MATTHEW,POLICE OFFICER
20A,8234,EVANS,TODD,POLICE OFFICER
20A,7282,GARCIA,ADOLPHO,POLICE OFFICER
20A,2717,TERNAND,BRANDON,POLICE OFFICER
20A,5385,WELLS,OTIS,POLICE OFFICER
20A,7377,ROSE IV,ADAM,POLICE OFFICER
20A,7354,PATEL,NIMESH,POLICE OFFICER
20A,7170,RAMIREZ,VERONICA,POLICE OFFICER
20A,10478,GOLDIE,RYAN,POLICE OFFICER
20A,17113,RAMOS,FRANCIS,POLICE OFFICER
20A,10408,HUSIC,ESNAF,POLICE OFFICER
20A,3974,MORRIS,LASHON,POLICE OFFICER
20A,7241,ALI,MOHAMMED,POLICE OFFICER
20A,5965,JANKOWSKI,RICHARD,POLICE OFFICER
20A,9652,HELSEL,JOHN,POLICE OFFICER
20A,11619,QUADRI,SYED,POLICE OFFICER
20A,9653,DEL OLMO,EDGAR,POLICE OFFICER
20A,11574,PASSARELLI,DANIEL,POLICE OFFICER
20A,10819,TUTTLE,KEVIN,POLICE OFFICER
20A,13662,MOSQUEDA,RAOUL,POLICE OFFICER
20A,5088,NAJM,SEAN,POLICE OFFICER
20A,11003,SANTIAGO,JOHNNY,POLICE OFFICER
20A,7229,CASALES JR,RAUL,POLICE OFFICER
20A,8688,DAVIS,TIMOTHY,POLICE OFFICER
20A,9105,DIALLO,SALIOU,POLICE OFFICER
20A,9405,LUEVANO,FRANCISCO,POLICE OFFICER
20A,8051,MEEKS,TIFFANY,POLICE OFFICER
20A,6353,MATYSIAK,ZUZANNA,POLICE OFFICER
20A,3164,WRIGHT,MARCHAND,POLICE OFFICER
20A,4947,WILLIAMS,TRACEY,POLICE OFFICER
20A,19209,NAVARRO,ALVARO,POLICE OFFICER
20A,4902,VASSELLI,NICHOLAS,POLICE OFFICER
20A,7954,BLACKMAN,DANIEL,POLICE OFFICER
20A,5304,BYRNE,JOSEPH,POLICE OFFICER
20A,9748,ORTIZ,WILFREDO,POLICE OFFICER
20A,11075,DELVALLE,RUBEN,POLICE OFFICER
20A,8653,EWING,DEAN,POLICE OFFICER
20A,19384,SERRATO JR,REYNALDO,POLICE OFFICER
20A,14254,AGUIRRE,PABLO,POLICE OFFICER
20A,6850,MCCALLUM,RICHARD,POLICE OFFICER
20A,7624,VARGAS,ARTEMIO,POLICE OFFICER
20A,6872,HOPKINS,TERRY,POLICE OFFICER
20A,10325,DUCKINS,JESSICA,POLICE OFFICER
20A,16090,MOSER,EDWARD,POLICE OFFICER
20A,3156,GORMAN,THOMAS,POLICE OFFICER
20A,8462,PEREZ,ARMANDO,POLICE OFFICER
20A,18578,NYKIEL,CRAIG,POLICE OFFICER
20A,11430,ROSEN,ANTHONY,POLICE OFFICER
20A,3891,MATLOCK,ZEYAD,POLICE OFFICER
20A,7937,MYLES,NATHANIEL,POLICE OFFICER
20A,3561,TORRES,MARCO,POLICE OFFICER
20A,15700,CALLAHAN,MICHAEL,POLICE OFFICER
20A,3210,BELMONTES,JUAN,POLICE OFFICER
20A,11852,VAZQUEZ,DANIEL,POLICE OFFICER
20A,7699,MONTESDEOCA,JESUS,POLICE OFFICER
20A,11482,MALONE,NICHOLAS,POLICE OFFICER
20A,10337,PONIATOWSKI,DANIEL,POLICE OFFICER
20A,5508,BROGSDALE,MALCOLM,POLICE OFFICER
20A,4548,GALASSI,ROBERT,POLICE OFFICER
20A,9451,ROBERTSON,THOMAS,POLICE OFFICER
20A,19600,SOJKA,GREGORY,POLICE OFFICER
20A,7762,BURG,KYLE,POLICE OFFICER
20A,14637,WAGNER,MICHAEL,POLICE OFFICER
